file,title,step_number,step,action,targets,confidence
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,1,Launch browser,browser,,0.5
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,0.9
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,3,Verify that home page is visible successfully,is,,0.5
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,4,Scroll down to footer,Scroll,footer,0.8
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,5,Verify text 'SUBSCRIPTION',Verify,SUBSCRIPTION,0.9
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,6,Enter email address in input and click arrow button,Enter,email address,0.8
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,6,Enter email address in input and click arrow button,click,arrow button,0.8
App1-TestCase1.feature,Test Case 1: Verify Subscription in home page,7,Verify success message 'You have been successfully subscribed!' is visible,subscribed,You have been successfully subscribed!,0.9
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,1,Launch browser,browser,,0.5
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,0.9
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,3,Verify that home page is visible successfully,is,,0.5
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,4,Scroll down page to bottom,page,bottom,0.8
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,5,Verify 'SUBSCRIPTION' is visible,is,SUBSCRIPTION,0.9
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,6,Click on arrow at bottom right side to move upward,Click,"arrow, bottom right side",0.8
App1-TestCase2.feature,Test Case 2: Verify Scroll Up using 'Arrow' button and Scroll Down functionality,7,Verify that page is scrolled up and 'Full-Fledged practice website for Automation Engineers' text is visible on screen,scrolled,Full-Fledged practice website for Automation Engineers,0.9
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,1,Launch browser,browser,,0.5
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,2,Navigate to url 'http://automationexercise.com',Navigate,http://automationexercise.com,0.9
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,3,Verify that home page is visible successfully,is,,0.5
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,4,Click on 'Signup / Login' button,Click,Signup / Login,0.9
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,5,Verify 'Login to your account' is visible,is,Login to your account,0.9
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,6,Enter incorrect email address and password,Enter,"incorrect email address and password, password",0.8
App1-TestCase3.feature,Test Case 3: Login User with incorrect email and password,7,Click 'login' button,button,login,0.9
